S,X,T,r,div,v,n,Amercall
129.6233109,100,0.874737641,0.000257683,2.78527E-05,0.526774759,15000,40.11010692
118.3995861,100,0.899283036,0.013540671,0.068344326,0.175778577,15000,18.39958615
102.202413,100,0.740780206,0.00687866,0.076577822,0.132557061,15000,3.955792501
75.20004928,100,2.923810517,0.039995785,0.069046914,0.134508741,15000,0.431200351
77.67314322,100,0.797646553,0.055867468,0.024374075,0.549137034,15000,8.626563744
117.1070192,100,0.413009401,0.099831414,0.007314904,0.458814928,15000,25.49304571
122.1234621,100,0.837985194,0.093708368,0.028268166,0.478875935,15000,34.7230736
91.4390326,100,0.893718003,0,0.081669929,0.445946476,15000,9.569776702
125.1457243,100,0.454793419,0.050146947,0.094307876,0.219055076,15000,25.14572431
79.73039624,100,0.238790966,0,0.064530026,0.205662218,15000,0.024056911
72.6591832,100,0.156614876,0.080034197,0.040162254,0.496569251,15000,0.390247728
75.20238628,100,2.683162216,0.008867228,0.003749979,0.281072618,15000,6.644110834
92.42591361,100,0.654508844,0.052539961,0.064380804,0.553235922,15000,12.83337357
89.24612386,100,0.235718061,0.09101874,0.062173729,0.220452598,15000,0.827433551
117.5748756,100,0.868768932,0.015561488,0.072266161,0.436743715,15000,24.65139841
97.59034165,100,0.100411283,0.088389252,0.026252199,0.157636737,15000,1.193501973
76.60582351,100,0.122608954,0.010626534,0.036567887,0.58112141,15000,0.764330611
75.92266163,100,0.743650231,0.083412312,0.076324294,0.501946799,15000,5.728505898
126.8105838,100,0.178528485,0.097477852,0.059697084,0.559538223,15000,29.24243892
90.8829963,100,0.125639189,0,0.070610774,0.36561145,15000,1.475932761
95.40281005,100,0.538271948,0,0.042671439,0.14688154,15000,1.704453547
94.84401614,100,2.059117849,0,0.048283959,0.491615026,15000,20.19466177
97.73361901,100,0.936187109,0.09900029,0.035982066,0.156518982,15000,7.434546171
81.62204039,100,0.916007304,0.002280198,0.030889377,0.160519085,15000,0.418122955
92.96119107,100,0.400789075,0.09027695,0.012973432,0.417853582,15000,8.080594499
85.90314006,100,0.482725713,0.028415819,0.045740818,0.128613152,15000,0.11918499
120.4870476,100,0.307759259,0.078523959,0.086790097,0.226624407,15000,20.60076697
74.36472481,100,3.132781438,0,0.063912321,0.382639717,15000,7.789126354
91.04256953,100,0.56874643,0.000939125,0.034119461,0.269537202,15000,3.540105605
82.10721354,100,0.397972586,0.025521292,0.067855851,0.288915366,15000,0.970877798
87.40406042,100,0.185076526,0.084771856,0.090112413,0.244663444,15000,0.45229293
100.5619154,100,0.813718034,0.012797465,0.085554433,0.590286271,15000,18.48935846
128.9469733,100,1.787344435,0.026581779,0.015478654,0.235681689,15000,33.73950625
83.02986545,100,2.224323447,0,0.033740846,0.378939452,15000,10.61591866
101.3266708,100,0.903373612,0,0.005670188,0.12413738,15000,5.181577495
126.5976259,100,0.439014237,0.066332828,0.022457787,0.377653481,15000,30.43096676
77.80487529,100,0.663917919,0.012329537,0.070589266,0.489986191,15000,4.737408558
129.5508799,100,4.601222413,0.064328642,0.056666037,0.143923085,15000,31.25581804
120.9820592,100,0.441191375,0.08449521,0.026142881,0.233392753,15000,23.86988136
72.50023602,100,0.310414293,0.090586411,0.060316809,0.563511608,15000,2.182467857
91.22659112,100,0.488153238,0.008732252,0.081008695,0.45229831,15000,6.935832023
80.98593892,100,0.618115474,0.067731422,0.016113375,0.388506603,15000,4.592943453
122.6894306,100,2.395429542,0.068058443,0.011321719,0.318045207,15000,41.51528818
103.9597064,100,0.11163156,0.092589367,0.032081805,0.435479268,15000,8.467334949
82.41083057,100,0.835116082,0,0.042625307,0.565504244,15000,9.943745252
74.5343299,100,0.866779001,0,0.028889116,0.582748137,15000,7.872129741
112.8651753,100,0.693333243,0.061482976,0.09360042,0.326562897,15000,17.34855091
104.3116773,100,3.477380279,0,0.041779604,0.231041995,15000,13.94743853
79.39702058,100,0.780263317,0.007598688,0.065544257,0.565853718,15000,7.938365831
96.29190727,100,0.576224153,0.028445193,0.058267077,0.137751405,15000,1.984208437
113.9464074,100,0.551171654,0.080788945,0.059563983,0.126880003,15000,14.89939071
120.3887792,100,0.952147976,0.00146482,0.096843546,0.400203433,15000,24.42324277
99.70505995,100,0.351480423,0.071415296,0.086454223,0.378463724,15000,8.366437628
114.0684387,100,0.676718233,0.075688142,0.019133335,0.504158404,15000,27.23687734
92.60752554,100,0.69627448,0.092719662,0.005494836,0.495797576,15000,14.50507468
82.17261198,100,0.238761778,0.013087637,0.020715043,0.280945635,15000,0.412452908
121.4240461,100,0.22952599,0.002389787,0.068884033,0.526795627,15000,23.91233646
110.2549924,100,0.941572149,0.072227222,0.064960274,0.454142257,15000,23.13273886
124.3298041,100,0.483341466,0.043347752,0.054134649,0.426532346,15000,28.00400534
